"EnsID" "GeneName" "GeneType" "logFC" "logCPM" "LR" "PValue" "FDR"
"125765" "ENST00000521826.5" "SLU7-208" "protein_coding" 2.637565196786 -2.65435660375883 38.051606262366 6.88979675721322e-10 8.55530604417983e-05
"6031" "ENST00000287139.7" "NODAL-201" "protein_coding" -2.53982548910346 0.391488480513709 37.5834074465264 8.75863782119897e-10 8.55530604417983e-05
"3404" "ENST00000261615.5" "DPEP1-201" "protein_coding" -3.83710201874872 0.817722552798139 35.7960643577155 2.19090028370928e-09 0.000142669235574865
"149139" "ENST00000552351.5" "CHPT1-210" "protein_coding" 2.52424084185924 -0.815482133685664 30.4536206498641 3.41944530423153e-08 0.00154946434334583
"50370" "ENST00000426523.5" "ARAP1-205" "protein_coding" 2.19660948339717 -0.909999920079622 30.1661425782937 3.96572516814302e-08 0.00154946434334583
"55978" "ENST00000434434.5" "SPARCL1-203" "protein_coding" -1.74625481070397 -1.61092407580947 29.7364025368917 4.94965862002297e-08 0.00161158409838638
"210215" "ENST00000633054.1" "MAPT-246" "protein_coding" -0.931714216963239 -2.22383659470514 28.0567190400395 1.17811364425957e-07 0.00328789638859454
"112943" "ENST00000507365.1" "LINC02172-201" "lincRNA" -1.48863947118541 0.140016232118027 26.3065087646718 2.9130528763487e-07 0.00711356588456066
"136328" "ENST00000533112.5" "MYO18A-214" "protein_coding" -2.67785367230658 -1.00607142024968 25.8554327007614 3.67967581703992e-07 0.00798722698432742
"55680" "ENST00000434006.2" "SPINK8-201" "protein_coding" -1.6361929386105 0.36220322593735 23.7244021822589 1.11164077740523e-06 0.0215334074265064
